Artist,Album,Track,DateTime,Date,Time,Acousticness,Danceability,Energy,Tempo,Valence,Loudness,Instrumentalness,Speechiness
Wednesday Campanella,ネオン,Buckingham,2-28-2023 23:58:00,2-28-2023,23:58:00,0.0105,0.703,0.862,144.946,0.825,-5.015,0.00135,0.0515
Red Velvet,Bloom,#Cookie Jar,2-28-2023 23:55:00,2-28-2023,23:55:00,0.0159,0.682,0.959,158.924,0.893,-2.054,0,0.0969
Playdate,Windows Forever,Windows Forever,2-28-2023 23:52:00,2-28-2023,23:52:00,0.794,0.799,0.619,102.111,0.684,-10.024,0.248,0.0336
Alpha,-18,Seni oilai,2-28-2023 23:49:00,2-28-2023,23:49:00,0.176,0.672,0.781,124.02,0.334,-6.763,0.000165,0.0523
Lolo Zouaï,PLAYGIRL,Gummy Bear,2-28-2023 23:47:00,2-28-2023,23:47:00,0.0304,0.84,0.606,112.046,0.478,-6.698,0,0.0726
Madisyn,missing out,missing out,2-28-2023 23:44:00,2-28-2023,23:44:00,0.164,0.705,0.688,125.014,0.591,-6.139,1.60E-06,0.0436
Amara ctk100,Just Kidding,Just Kidding,2-28-2023 23:42:00,2-28-2023,23:42:00,0.615,0.811,0.489,146.996,0.658,-10.147,0.00101,0.0948
Seyi Shay,Seyi Or Shay,Crazy,2-28-2023 23:41:00,2-28-2023,23:41:00,0.242,0.693,0.973,126.006,0.971,-0.772,7.22E-05,0.0494
VanJess,Silk Canvas,Cool Off the Rain (Interlude),2-28-2023 23:41:00,2-28-2023,23:41:00,0.325,0.552,0.549,171.924,0.232,-9.502,3.20E-05,0.166
Seyi Shay,Seyi Or Shay,Crazy,2-28-2023 23:37:00,2-28-2023,23:37:00,0.242,0.693,0.973,126.006,0.971,-0.772,7.22E-05,0.0494
Crystal Tea,그곳에 닿아줘 There There,그곳에 닿아줘 There There,2-28-2023 23:35:00,2-28-2023,23:35:00,2.04E-05,0.304,0.908,179.898,0.596,-3.843,0.00551,0.0748
Yurie Kokubu,STEPS +2,リフレイン,2-28-2023 23:30:00,2-28-2023,23:30:00,0.129,0.763,0.842,126.845,0.779,-4.671,3.63E-05,0.0667
JINJIN&ROCKY(ASTRO),Restore,CPR,2-28-2023 23:26:00,2-28-2023,23:26:00,0.333,0.505,0.817,159.868,0.326,-2.399,0,0.115
MAX,MAXIMUM GROOVE,Ride on Time,2-28-2023 23:22:00,2-28-2023,23:22:00,0.0175,0.535,0.902,151.994,0.84,-4.583,0.0161,0.0337
The Volunteers,The Volunteers,Radio,2-28-2023 22:48:00,2-28-2023,22:48:00,0.0226,0.502,0.462,80.992,0.355,-8.32,0.00449,0.0255
KAYWHT,11:30,11:30,2-28-2023 22:45:00,2-28-2023,22:45:00,0.829,0.671,0.452,125.968,0.555,-9.506,0.000486,0.186
Toa,MIKU/TOA,ミュージックミュージック (feat. 初音ミク),2-28-2023 22:41:00,2-28-2023,22:41:00,0.137,0.868,0.538,128.988,0.801,-8.868,0,0.0749
Boa,Atlantis Princess - The 3rd Album,Milky Way,2-28-2023 22:38:00,2-28-2023,22:38:00,0.134,0.674,0.947,104.047,0.85,-3.059,0,0.0809
SHISHAMO,SHISHAMO 7,中毒,2-28-2023 22:34:00,2-28-2023,22:34:00,0.00421,0.556,0.835,97.043,0.715,-4.644,0.000219,0.03
Jakey,ROMCOM,Pine Barrens,2-28-2023 22:30:00,2-28-2023,22:30:00,0.605,0.59,0.569,93.842,0.53,-8.835,0,0.0637
ratwyfe,mushroom melancholia,Impostor Syndrome,2-28-2023 22:28:00,2-28-2023,22:28:00,0.976,0.529,0.158,91.683,0.296,-13.398,6.71E-05,0.0919
Native Sound System,Runaway,Runaway,2-28-2023 22:24:00,2-28-2023,22:24:00,0.213,0.352,0.391,98.577,0.0726,-7.294,0.00611,0.0364
Youth With You,XOXO + Youth With You 2,YES! OK! + YOUTH WITH YOU 2 THEME SONG,2-28-2023 22:21:00,2-28-2023,22:21:00,0.0851,0.694,0.867,126.077,0.521,-4.811,3.82E-06,0.0629
The Volunteers,The Volunteers,Nicer,2-28-2023 22:16:00,2-28-2023,22:16:00,0.079,0.713,0.414,112.041,0.249,-9.688,0.000199,0.0442
kirin,The Town,Sachi (feat. Plastic Kid),2-28-2023 22:08:00,2-28-2023,22:08:00,0.0553,0.736,0.906,110.04,0.839,-5.163,0,0.066
